step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0007666459853871346,0.00036078880093477035
0,train,directions,liver_to_the_liver,language_agnostic,0.0007666459853871346,0.00036078880093477035
0,train,directions,liver_to_the_liver,language_conditioned,0.0007666459853871346,0.00036078880093477035
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0007666459853871346,0.00036078880093477035
0,train,directions,the_liver_to_liver,identity,0.0007602406540721939,0.0003597382142222873
0,train,directions,the_liver_to_liver,language_agnostic,0.0007602406540721939,0.0003597382142222873
0,train,directions,the_liver_to_liver,language_conditioned,0.0007602406540721939,0.0003597382142222873
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0007602406540721939,0.0003597382142222873
0,train,case_names,HEM_PA99.nii.gz,identity,0.0007634298532135422,0.00036025850665232894
0,train,case_names,HEM_PA99.nii.gz,language_agnostic,0.0007634298532135422,0.00036025850665232894
0,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.0007634298532135422,0.00036025850665232894
0,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0007634298532135422,0.00036025850665232894
0,val,directions,liver_to_the_liver,identity,0.0007374917293047684,0.0003080496199200171
0,val,directions,liver_to_the_liver,language_agnostic,0.0007374917293047684,0.0003080496199200171
0,val,directions,liver_to_the_liver,language_conditioned,0.0007374917293047684,0.0003080496199200171
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0007374917293047684,0.0003080496199200171
0,val,directions,the_liver_to_liver,identity,0.0007296574218208762,0.0003047092779728298
0,val,directions,the_liver_to_liver,language_agnostic,0.0007296574218208762,0.0003047092779728298
0,val,directions,the_liver_to_liver,language_conditioned,0.0007296574218208762,0.0003047092779728298
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0007296574218208762,0.0003047092779728298
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007335536586800006,0.00030636138781720766
0,val,case_names,CYST_PA62.nii.gz,language_agnostic,0.0007335536586800006,0.00030636138781720766
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0007335536586800006,0.00030636138781720766
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0007335536586800006,0.00030636138781720766
100,train,directions,liver_to_the_liver,identity,0.0007666459853871346,0.00036078880093477035
100,train,directions,liver_to_the_liver,language_agnostic,0.00048777363210866635,0.00012933340993409478
100,train,directions,liver_to_the_liver,language_conditioned,0.00021854473436824792,1.586182974369285e-05
100,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002381423010113077,0.0014050259289322736
100,train,directions,the_liver_to_liver,identity,0.0007602406540721939,0.0003597382142222873
100,train,directions,the_liver_to_liver,language_agnostic,0.0004382295935401202,0.0001029197116898372
100,train,directions,the_liver_to_liver,language_conditioned,0.00022255496902352236,1.887297028401478e-05
100,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0024007616528632504,0.0014021243537628895
100,train,case_names,HEM_PA99.nii.gz,identity,0.0007634298532135422,0.00036025850665232894
100,train,case_names,HEM_PA99.nii.gz,language_agnostic,0.0004628976346096767,0.00011600036330027313
100,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.00022055825419097535,1.738178881448161e-05
100,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.002391132876629519,0.0014035614015071507
100,val,directions,liver_to_the_liver,identity,0.0007374917293047684,0.0003080496199200171
100,val,directions,liver_to_the_liver,language_agnostic,0.0006447542775903359,0.0002129635439085435
100,val,directions,liver_to_the_liver,language_conditioned,0.00035060270308192264,4.32173553456318e-05
100,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002097426564583974,0.0011666928744913491
100,val,directions,the_liver_to_liver,identity,0.0007296574218208762,0.0003047092779728298
100,val,directions,the_liver_to_liver,language_agnostic,0.00108377682605878,0.0005900537337280667
100,val,directions,the_liver_to_liver,language_conditioned,0.0003573850448446215,5.024213053069769e-05
100,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.002103802702959364,0.0011928530560885741
100,val,case_names,CYST_PA62.nii.gz,identity,0.0007335536586800006,0.00030636138781720766
100,val,case_names,CYST_PA62.nii.gz,language_agnostic,0.0008654376634006066,0.00040354303107801665
100,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0003540120013859327,4.6767637344225764e-05
100,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0021006316574766395,0.0011799139443572078
200,train,directions,liver_to_the_liver,identity,0.0007666459853871346,0.00036078880093477035
200,train,directions,liver_to_the_liver,language_agnostic,0.0003587570080697757,6.481486317215511e-05
200,train,directions,liver_to_the_liver,language_conditioned,0.00018782937662075526,1.1972358823845221e-05
200,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002479337110896465,0.0014272226659117762
200,train,directions,the_liver_to_liver,identity,0.0007602406540721939,0.0003597382142222873
200,train,directions,the_liver_to_liver,language_agnostic,0.0003302398791673439,6.36949580757433e-05
200,train,directions,the_liver_to_liver,language_conditioned,0.00018766957177092415,1.2648021542563857e-05
200,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0024636591080253113,0.0014315518660248674
200,train,case_names,HEM_PA99.nii.gz,identity,0.0007634298532135422,0.00036025850665232894
200,train,case_names,HEM_PA99.nii.gz,language_agnostic,0.000344438604460218,6.424956310523315e-05
200,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.00018774913131872474,1.2313419508374726e-05
200,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0024714650435440203,0.0014294080758132572
200,val,directions,liver_to_the_liver,identity,0.0007374917293047684,0.0003080496199200171
200,val,directions,liver_to_the_liver,language_agnostic,0.0005780603283892779,0.00016950549039731325
200,val,directions,liver_to_the_liver,language_conditioned,0.00032824205930768156,3.806531840172601e-05
200,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0021899027631689383,0.001208252684415845
200,val,directions,the_liver_to_liver,identity,0.0007296574218208762,0.0003047092779728298
200,val,directions,the_liver_to_liver,language_agnostic,0.0013125999079167006,0.0007269937720527168
200,val,directions,the_liver_to_liver,language_conditioned,0.0003333507653551922,4.3129624411042836e-05
200,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0021550294261521107,0.0012078139414783535
200,val,case_names,CYST_PA62.nii.gz,identity,0.0007335536586800006,0.00030636138781720766
200,val,case_names,CYST_PA62.nii.gz,language_agnostic,0.0009472911947285583,0.00045125726370556015
200,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0003308100521082756,4.062478962501128e-05
200,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.002172372909279952,0.001208030878832652
300,train,directions,liver_to_the_liver,identity,0.0007666459853871346,0.00036078880093477035
300,train,directions,liver_to_the_liver,language_agnostic,0.0003251173586555718,5.948351340221728e-05
300,train,directions,liver_to_the_liver,language_conditioned,0.00017260597746990422,9.861858233955565e-06
300,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0025291266112815376,0.001439473999784852
300,train,directions,the_liver_to_liver,identity,0.0007602406540721939,0.0003597382142222873
300,train,directions,the_liver_to_liver,language_agnostic,0.00030362369964800353,5.70588112139255e-05
300,train,directions,the_liver_to_liver,language_conditioned,0.00017381049204749353,1.0659500070659348e-05
300,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.002510708972197478,0.001382613821185426
300,train,case_names,HEM_PA99.nii.gz,identity,0.0007634298532135422,0.00036025850665232894
300,train,case_names,HEM_PA99.nii.gz,language_agnostic,0.00031432541305805316,5.825957386450203e-05
300,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.0001732107341707985,1.0264490785329471e-05
300,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0025198790573546996,0.0014107723082927767
300,val,directions,liver_to_the_liver,identity,0.0007374917293047684,0.0003080496199200171
300,val,directions,liver_to_the_liver,language_agnostic,0.0005839066100153022,0.00015643907277719917
300,val,directions,liver_to_the_liver,language_conditioned,0.0003224971917472766,3.355849241353596e-05
300,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002236958117819748,0.0012303183067161698
300,val,directions,the_liver_to_liver,identity,0.0007296574218208762,0.0003047092779728298
300,val,directions,the_liver_to_liver,language_agnostic,0.0013165518320620029,0.0006558855288841138
300,val,directions,the_liver_to_liver,language_conditioned,0.0003227011720319957,3.909771046645905e-05
300,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0021919136442560944,0.0011602075302610166
300,val,case_names,CYST_PA62.nii.gz,identity,0.0007335536586800006,0.00030636138781720766
300,val,case_names,CYST_PA62.nii.gz,language_agnostic,0.0009521852782371655,0.0004088567950720469
300,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0003225997264982978,3.6357985058430066e-05
300,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0022143154628876138,0.001194884512926325
