split,case,patch_index,patch_kind,direction,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,liver_to_the_liver,0.00014264699711930007,3.938944064429961e-05
train,HEM_PA99.nii.gz,0,context,the_liver_to_liver,0.00014217247371561825,3.908638973371126e-05
train,HEM_PA99.nii.gz,1,context,liver_to_the_liver,0.0027071491349488497,0.0019228665623813868
train,HEM_PA99.nii.gz,1,context,the_liver_to_liver,0.00264307064935565,0.0017890864983201027
train,HEM_PA99.nii.gz,2,foreground,liver_to_the_liver,0.0025320451240986586,0.001768604852259159
train,HEM_PA99.nii.gz,2,foreground,the_liver_to_liver,0.002495241118595004,0.001654513063840568
train,HEM_PA99.nii.gz,3,foreground,liver_to_the_liver,0.0019202677067369223,0.0012183783110231161
train,HEM_PA99.nii.gz,3,foreground,the_liver_to_liver,0.0019021056359633803,0.0011545325396582484
train,HCC_10140276_20170721.nii.gz,0,context,liver_to_the_liver,0.004892175551503897,0.00398366991430521
train,HCC_10140276_20170721.nii.gz,0,context,the_liver_to_liver,0.004576369188725948,0.00354995159432292
train,HCC_10140276_20170721.nii.gz,1,context,liver_to_the_liver,0.002214571461081505,0.0014724039938300848
train,HCC_10140276_20170721.nii.gz,1,context,the_liver_to_liver,0.002150424988940358,0.0013789288932457566
train,HCC_10140276_20170721.nii.gz,2,foreground,liver_to_the_liver,0.002474260050803423,0.0011606831103563309
train,HCC_10140276_20170721.nii.gz,2,foreground,the_liver_to_liver,0.0024191993288695812,0.0010975492186844349
train,HCC_10140276_20170721.nii.gz,3,foreground,liver_to_the_liver,0.0026984342839568853,0.0014005422126501799
train,HCC_10140276_20170721.nii.gz,3,foreground,the_liver_to_liver,0.002627151319757104,0.0013119387440383434
train,HEM_PA97.nii.gz,0,context,liver_to_the_liver,0.0025011582765728235,0.0007193982019089162
train,HEM_PA97.nii.gz,0,context,the_liver_to_liver,0.002457953756675124,0.0006918823346495628
train,HEM_PA97.nii.gz,1,context,liver_to_the_liver,0.0025295440573245287,0.0015452902298420668
train,HEM_PA97.nii.gz,1,context,the_liver_to_liver,0.0024700022768229246,0.0014495562063530087
train,HEM_PA97.nii.gz,2,foreground,liver_to_the_liver,0.0031245159916579723,0.0012316883075982332
train,HEM_PA97.nii.gz,2,foreground,the_liver_to_liver,0.0030614507850259542,0.0011654432164505124
train,HEM_PA97.nii.gz,3,context_fill,liver_to_the_liver,0.0004037691978737712,0.00018123364134225994
train,HEM_PA97.nii.gz,3,context_fill,the_liver_to_liver,0.00041034119203686714,0.00018552302208263427
train,CYST_PA69.nii.gz,0,context,liver_to_the_liver,0.0002555433311499655,5.953531581326388e-05
train,CYST_PA69.nii.gz,0,context,the_liver_to_liver,0.0002548352349549532,5.904585123062134e-05
train,CYST_PA69.nii.gz,1,context,liver_to_the_liver,0.0003837004187516868,8.689717651577666e-05
train,CYST_PA69.nii.gz,1,context,the_liver_to_liver,0.0003819992416538298,8.597880514571443e-05
train,CYST_PA69.nii.gz,2,foreground,liver_to_the_liver,0.002586798742413521,0.0017783894436433911
train,CYST_PA69.nii.gz,2,foreground,the_liver_to_liver,0.0025577007327228785,0.0016670225886628032
train,CYST_PA69.nii.gz,3,foreground,liver_to_the_liver,0.002955356612801552,0.0016912861028686166
train,CYST_PA69.nii.gz,3,foreground,the_liver_to_liver,0.0028855300042778254,0.0015814016805961728
train,HCC_10076307_20130925.nii.gz,0,context,liver_to_the_liver,0.006553067825734615,0.004911448806524277
train,HCC_10076307_20130925.nii.gz,0,context,the_liver_to_liver,0.005959516391158104,0.004312204662710428
train,HCC_10076307_20130925.nii.gz,1,context,liver_to_the_liver,0.002740977331995964,0.0014668087242171168
train,HCC_10076307_20130925.nii.gz,1,context,the_liver_to_liver,0.0026652642991393805,0.0013738523703068495
train,HCC_10076307_20130925.nii.gz,2,foreground,liver_to_the_liver,0.002747142221778631,0.0014666345668956637
train,HCC_10076307_20130925.nii.gz,2,foreground,the_liver_to_liver,0.0026706845965236425,0.0013748107012361288
train,HCC_10076307_20130925.nii.gz,3,foreground,liver_to_the_liver,0.002450257306918502,0.0014472194015979767
train,HCC_10076307_20130925.nii.gz,3,foreground,the_liver_to_liver,0.00238046539016068,0.0013553416356444359
train,CYST_PA20.nii.gz,0,context,liver_to_the_liver,0.004604744724929333,0.003360706614330411
train,CYST_PA20.nii.gz,0,context,the_liver_to_liver,0.00428036181256175,0.003019096562638879
train,CYST_PA20.nii.gz,1,context,liver_to_the_liver,0.0023095004726201296,0.0010034361621364951
train,CYST_PA20.nii.gz,1,context,the_liver_to_liver,0.0022610528394579887,0.0009526856010779738
train,CYST_PA20.nii.gz,2,foreground,liver_to_the_liver,0.0024266804102808237,0.0010370372328907251
train,CYST_PA20.nii.gz,2,foreground,the_liver_to_liver,0.002373836701735854,0.0009850796777755022
train,CYST_PA20.nii.gz,3,foreground,liver_to_the_liver,0.002916004741564393,0.0015678324270993471
train,CYST_PA20.nii.gz,3,foreground,the_liver_to_liver,0.0028254943899810314,0.0014673902187496424
train,CYST_PA56.nii.gz,0,context,liver_to_the_liver,0.0002021776745095849,3.864772952510975e-05
train,CYST_PA56.nii.gz,0,context,the_liver_to_liver,0.00020198141282889992,3.855627801385708e-05
train,CYST_PA56.nii.gz,1,context,liver_to_the_liver,0.0030878193210810423,0.0023567909374833107
train,CYST_PA56.nii.gz,1,context,the_liver_to_liver,0.0029475318733602762,0.0021563430782407522
train,CYST_PA56.nii.gz,2,foreground,liver_to_the_liver,0.002235500840470195,0.0008271474507637322
train,CYST_PA56.nii.gz,2,foreground,the_liver_to_liver,0.0021985715720802546,0.0007934532477520406
train,CYST_PA56.nii.gz,3,foreground,liver_to_the_liver,0.0026958840899169445,0.0015903348103165627
train,CYST_PA56.nii.gz,3,foreground,the_liver_to_liver,0.0026213782839477062,0.0014842534437775612
train,HCC_10136895_20170421.nii.gz,0,context,liver_to_the_liver,0.02638036012649536,0.02287902869284153
train,HCC_10136895_20170421.nii.gz,0,context,the_liver_to_liver,0.021573515608906746,0.017379162833094597
train,HCC_10136895_20170421.nii.gz,1,context,liver_to_the_liver,0.0023840689100325108,0.0013926195679232478
train,HCC_10136895_20170421.nii.gz,1,context,the_liver_to_liver,0.002314707962796092,0.0013049420667812228
train,HCC_10136895_20170421.nii.gz,2,foreground,liver_to_the_liver,0.0027716238982975483,0.0016828482039272785
train,HCC_10136895_20170421.nii.gz,2,foreground,the_liver_to_liver,0.002703833393752575,0.0015698964707553387
train,HCC_10136895_20170421.nii.gz,3,foreground,liver_to_the_liver,0.0025548841804265976,0.001751123694702983
train,HCC_10136895_20170421.nii.gz,3,foreground,the_liver_to_liver,0.002480284543707967,0.0016271226340904832
val,CYST_PA62.nii.gz,0,context,liver_to_the_liver,0.000298878934700042,9.156259329756722e-05
val,CYST_PA62.nii.gz,0,context,the_liver_to_liver,0.0002966042666230351,9.035373659571633e-05
val,CYST_PA62.nii.gz,1,context,liver_to_the_liver,0.002214152831584215,0.0015672915615141392
val,CYST_PA62.nii.gz,1,context,the_liver_to_liver,0.00216847937554121,0.001464127330109477
val,CYST_PA62.nii.gz,2,foreground,liver_to_the_liver,0.0028513201978057623,0.0013318239944055676
val,CYST_PA62.nii.gz,2,foreground,the_liver_to_liver,0.0028143813833594322,0.0012585759395733476
val,CYST_PA62.nii.gz,3,context_fill,liver_to_the_liver,0.00017488523735664785,5.449852687888779e-05
val,CYST_PA62.nii.gz,3,context_fill,the_liver_to_liver,0.00017429438594263047,5.401651287684217e-05
val,HEM_PA29.nii.gz,0,context,liver_to_the_liver,0.00017024802218656987,3.3200467441929504e-05
val,HEM_PA29.nii.gz,0,context,the_liver_to_liver,0.0001702045847196132,3.3070184144889936e-05
val,HEM_PA29.nii.gz,1,context,liver_to_the_liver,0.0029090309981256723,0.0011924825375899673
val,HEM_PA29.nii.gz,1,context,the_liver_to_liver,0.0029878895729780197,0.0012681710068136454
val,HEM_PA29.nii.gz,2,foreground,liver_to_the_liver,0.003150740871205926,0.0007443263893947005
val,HEM_PA29.nii.gz,2,foreground,the_liver_to_liver,0.0031420078594237566,0.000723973847925663
val,HEM_PA29.nii.gz,3,foreground,liver_to_the_liver,0.0028567342087626457,0.0017487172735854983
val,HEM_PA29.nii.gz,3,foreground,the_liver_to_liver,0.0028011559043079615,0.0016356251435354352
val,HEP_PA28.nii.gz,0,context,liver_to_the_liver,0.002297633793205023,0.001406930503435433
val,HEP_PA28.nii.gz,0,context,the_liver_to_liver,0.002246207557618618,0.0013199318200349808
val,HEP_PA28.nii.gz,1,context,liver_to_the_liver,0.004219960421323776,0.002808815333992243
val,HEP_PA28.nii.gz,1,context,the_liver_to_liver,0.0039316946640610695,0.0025493530556559563
val,HEP_PA28.nii.gz,2,foreground,liver_to_the_liver,0.0027172795962542295,0.0009065449703484774
val,HEP_PA28.nii.gz,2,foreground,the_liver_to_liver,0.0026733747217804193,0.0008666027570143342
val,HEP_PA28.nii.gz,3,context_fill,liver_to_the_liver,0.002998939249664545,0.0013726814649999142
val,HEP_PA28.nii.gz,3,context_fill,the_liver_to_liver,0.0029342100024223328,0.0012935957638546824
val,HEM_PA107.nii.gz,0,context,liver_to_the_liver,0.0002511170459911227,7.835123687982559e-05
val,HEM_PA107.nii.gz,0,context,the_liver_to_liver,0.0002496122906450182,7.741797890048474e-05
val,HEM_PA107.nii.gz,1,context,liver_to_the_liver,0.0031043728813529015,0.002129967324435711
val,HEM_PA107.nii.gz,1,context,the_liver_to_liver,0.003022627206519246,0.001970421290025115
val,HEM_PA107.nii.gz,2,foreground,liver_to_the_liver,0.0026606684550642967,0.0013506354298442602
val,HEM_PA107.nii.gz,2,foreground,the_liver_to_liver,0.0025971189606934786,0.0012689930154010653
val,HEM_PA107.nii.gz,3,context_fill,liver_to_the_liver,0.00020848028361797333,4.973409158992581e-05
val,HEM_PA107.nii.gz,3,context_fill,the_liver_to_liver,0.0002077987155644223,4.933545278618112e-05
