step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0007666419086265458,0.00036079647808619046
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0010441018034529118,0.00047677082130191336
0,train,directions,liver_to_the_liver,language_conditioned,0.0010441018034529118,0.00047677082130191336
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0010441018034529118,0.00047677082130191336
0,train,directions,the_liver_to_liver,identity,0.0007602369217472309,0.00035970545053957596
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.001842915587922038,0.001845455668568267
0,train,directions,the_liver_to_liver,language_conditioned,0.001842915587922038,0.001845455668568267
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.001842915587922038,0.001845455668568267
0,train,case_names,HEM_PA99.nii.gz,identity,0.0007634259812928202,0.00036024577038563867
0,train,case_names,HEM_PA99.nii.gz,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
0,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.001445184176990421,0.0011676524924494746
0,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.001445184176990421,0.0011676524924494746
0,val,directions,liver_to_the_liver,identity,0.0007374928853964937,0.0003080584638083311
0,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0009776870072062114,0.00037508697856310745
0,val,directions,liver_to_the_liver,language_conditioned,0.0009776870072062114,0.00037508697856310745
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0009776870072062114,0.00037508697856310745
0,val,directions,the_liver_to_liver,identity,0.0007296586821893967,0.00030469278631016055
0,val,directions,the_liver_to_liver,shared_trunk_no_language,0.0018088041187223423,0.0017789202771834856
0,val,directions,the_liver_to_liver,language_conditioned,0.0018088041187223423,0.0017789202771834856
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0018088041187223423,0.0017789202771834856
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007335548675013888,0.0003063574678104942
0,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.001395464459506806,0.001084577134307304
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.001395464459506806,0.001084577134307304
100,train,directions,liver_to_the_liver,identity,0.0007666419086265458,0.00036079647808619046
100,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0010441018034529118,0.00047677082130191336
100,train,directions,liver_to_the_liver,language_conditioned,0.0009224458695944346,0.0002993617150564908
100,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0011397405063011499,0.0006789013936814045
100,train,directions,the_liver_to_liver,identity,0.0007602369217472309,0.00035970545053957596
100,train,directions,the_liver_to_liver,shared_trunk_no_language,0.001842915587922038,0.001845455668568267
100,train,directions,the_liver_to_liver,language_conditioned,0.000947073934998743,0.00036373055853698217
100,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.001614302948377092,0.001543678776586057
100,train,case_names,HEM_PA99.nii.gz,identity,0.0007634259812928202,0.00036024577038563867
100,train,case_names,HEM_PA99.nii.gz,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
100,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.0009348115574877669,0.000331853717851833
100,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0013780171600695978,0.0011154217593475613
100,val,directions,liver_to_the_liver,identity,0.0007374928853964937,0.0003080584638083311
100,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0009776870072062114,0.00037508697856310745
100,val,directions,liver_to_the_liver,language_conditioned,0.00091146896868632,0.00025933443289869373
100,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.001100972821695959,0.0005725941504398065
100,val,directions,the_liver_to_liver,identity,0.0007296586821893967,0.00030469278631016055
100,val,directions,the_liver_to_liver,shared_trunk_no_language,0.0018088041187223423,0.0017789202771834856
100,val,directions,the_liver_to_liver,language_conditioned,0.0008978090041153444,0.0002839321765145612
100,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0015760729796294713,0.0014542361877991313
100,val,case_names,CYST_PA62.nii.gz,identity,0.0007335548675013888,0.0003063574678104942
100,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
100,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0009046025544768788,0.00027176600528468474
100,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0013397912787921646,0.0010181715211396711
