split,case,patch_index,patch_kind,source_prompt,target_prompt,prompt_pair,text_embedding_cosine,text_embedding_delta_norm,text_embedding_source_norm,text_embedding_target_norm,state_normalized_mse,intermediate_mask_logit_normalized_mse,intermediate_soft_dice,intermediate_binary_dice,intermediate_probability_mae,intermediate_source_probability_mean,intermediate_target_probability_mean,intermediate_source_foreground_voxels,intermediate_target_foreground_voxels,final_soft_dice,final_binary_dice,final_probability_mae,final_source_probability_mean,final_target_probability_mean,final_source_foreground_voxels,final_target_foreground_voxels
train,HEM_PA99.nii.gz,0,context,liver,the liver,liver -> the liver,0.9906747937202454,18.447200775146484,134.9052276611328,135.21458435058594,0.0001436676102457568,4.0731803892413154e-05,0.9892542958259583,1.0,8.16656516174595e-14,3.5460065331109625e-13,4.3116448996197154e-13,0.0,0.0,0.9967467784881592,1.0,3.368157362457516e-17,2.13737911629986e-16,2.4739698925062216e-16,0.0,0.0
train,HEM_PA99.nii.gz,0,context,liver,human liver,liver -> human liver,0.961371898651123,37.537567138671875,134.9052276611328,135.19053649902344,0.0003698832879308611,5.765071546193212e-05,0.9899656176567078,1.0,4.838116669445003e-14,3.5460065331109625e-13,3.7862166743854453e-13,0.0,0.0,0.9968098402023315,1.0,2.7447682448024426e-17,2.13737911629986e-16,2.384360688829413e-16,0.0,0.0
train,HEM_PA99.nii.gz,0,context,liver,hepatic organ,liver -> hepatic organ,0.8965643048286438,61.90240478515625,134.9052276611328,137.1280517578125,0.000592441821936518,5.705211515305564e-05,0.9889612197875977,1.0,1.0938514362953539e-13,3.5460065331109625e-13,4.5283671560800154e-13,0.0,0.0,0.9968172907829285,1.0,3.0504918830963264e-17,2.13737911629986e-16,2.373752924654033e-16,0.0,0.0
train,HEM_PA99.nii.gz,1,context,liver,the liver,liver -> the liver,0.9906747937202454,18.447200775146484,134.9052276611328,135.21458435058594,0.0027210181578993797,0.001957557164132595,0.9528794288635254,0.9833934903144836,0.0019448287785053253,0.049045298248529434,0.05073513090610504,682.0,703.0,0.9587697982788086,0.9926671385765076,0.0006842143484391272,0.04128558561205864,0.04081989824771881,292759.0,289686.0
train,HEM_PA99.nii.gz,1,context,liver,human liver,liver -> human liver,0.961371898651123,37.537567138671875,134.9052276611328,135.19053649902344,0.008143952116370201,0.0030065744649618864,0.9488809704780579,0.9813293218612671,0.0022054219152778387,0.049045298248529434,0.04688984900712967,682.0,657.0,0.9579761624336243,0.9875378608703613,0.001198692130856216,0.04128558561205864,0.04008835181593895,292759.0,285554.0
train,HEM_PA99.nii.gz,1,context,liver,hepatic organ,liver -> hepatic organ,0.8965643048286438,61.90240478515625,134.9052276611328,137.1280517578125,0.008275889791548252,0.00201990082859993,0.9550610184669495,0.9918819069862366,0.0010795925045385957,0.049045298248529434,0.04833135008811951,682.0,673.0,0.959904670715332,0.9929797649383545,0.000663266924675554,0.04128558561205864,0.04065833240747452,292759.0,288846.0
train,HEM_PA99.nii.gz,2,foreground,liver,the liver,liver -> the liver,0.9906747937202454,18.447200775146484,134.9052276611328,135.21458435058594,0.0022466194350272417,0.0012221490032970905,0.9751393795013428,0.9879253506660461,0.0005871946341358125,0.03316357731819153,0.033652354031801224,451.0,460.0,0.9527296423912048,0.9941787719726562,0.0004181319091003388,0.033020421862602234,0.03296668827533722,233854.0,233573.0
train,HEM_PA99.nii.gz,2,foreground,liver,human liver,liver -> human liver,0.961371898651123,37.537567138671875,134.9052276611328,135.19053649902344,0.007949280552566051,0.0024054409004747868,0.9796008467674255,0.9977777600288391,0.0005363641539588571,0.03316357731819153,0.03267478570342064,451.0,449.0,0.950050413608551,0.9815478920936584,0.001262590871192515,0.033020421862602234,0.03177724406123161,233854.0,225498.0
train,HEM_PA99.nii.gz,2,foreground,liver,hepatic organ,liver -> hepatic organ,0.8965643048286438,61.90240478515625,134.9052276611328,137.1280517578125,0.008662363514304161,0.0018633994041010737,0.9791237115859985,0.996662974357605,0.00040825302130542696,0.03316357731819153,0.03280896693468094,451.0,448.0,0.9532961249351501,0.9906739592552185,0.0006322007393464446,0.033020421862602234,0.03250739723443985,233854.0,230329.0
train,HEM_PA99.nii.gz,3,foreground,liver,the liver,liver -> the liver,0.9906747937202454,18.447200775146484,134.9052276611328,135.21458435058594,0.0026098338421434164,0.00212843157351017,0.9251503944396973,0.9613259434700012,0.00287461606785655,0.03128199651837349,0.034146662801504135,435.0,470.0,0.9449305534362793,0.9819457530975342,0.0011501817498356104,0.02938375063240528,0.03041548654437065,207751.0,214698.0
