case,patch_index,patch_kind,target_prompt,action,real_change_rate,predicted_change_rate,change_direction_cosine,relative_target_nmse
CYST_PA62.nii.gz,0,context,the liver,source_identity,0.05284186080098152,0.0,,0.0027922510635107756
CYST_PA62.nii.gz,0,context,the liver,correct_action,0.05284186080098152,0.04432544857263565,0.8821868300437927,0.0006244194228202105
CYST_PA62.nii.gz,0,context,the liver,wrong_spleen,0.05284186080098152,0.04179038479924202,0.7106194496154785,0.0014001968083903193
CYST_PA62.nii.gz,0,context,the liver,wrong_left_kidney,0.05284186080098152,0.05006682500243187,0.38166671991348267,0.003279442200437188
CYST_PA62.nii.gz,0,context,the liver,wrong_right_kidney,0.05284186080098152,0.06133544445037842,0.2241804450750351,0.005101105198264122
CYST_PA62.nii.gz,0,context,human liver,source_identity,0.09472785890102386,0.0,,0.008973252959549427
CYST_PA62.nii.gz,0,context,human liver,correct_action,0.09472785890102386,0.09076496958732605,0.9559603929519653,0.0007729987264610827
CYST_PA62.nii.gz,0,context,human liver,wrong_spleen,0.09472785890102386,0.04179038479924202,0.4865257441997528,0.006867684423923492
CYST_PA62.nii.gz,0,context,human liver,wrong_left_kidney,0.09472785890102386,0.05006682500243187,0.7289489507675171,0.004565590061247349
CYST_PA62.nii.gz,0,context,human liver,wrong_right_kidney,0.09472785890102386,0.06133544445037842,0.3641849756240845,0.008503338322043419
CYST_PA62.nii.gz,0,context,hepatic organ,source_identity,0.11937685310840607,0.0,,0.014250927604734898
CYST_PA62.nii.gz,0,context,hepatic organ,correct_action,0.11937685310840607,0.10986328125,0.9703466892242432,0.000868329603690654
CYST_PA62.nii.gz,0,context,hepatic organ,wrong_spleen,0.11937685310840607,0.04179038479924202,0.3998548984527588,0.012007752433419228
CYST_PA62.nii.gz,0,context,hepatic organ,wrong_left_kidney,0.11937685310840607,0.05006682500243187,0.6258631348609924,0.00927624013274908
CYST_PA62.nii.gz,0,context,hepatic organ,wrong_right_kidney,0.11937685310840607,0.06133544445037842,0.8832935690879822,0.005077897105365992
CYST_PA62.nii.gz,1,context,the liver,source_identity,0.08986912667751312,0.0,,0.008076529018580914
CYST_PA62.nii.gz,1,context,the liver,correct_action,0.08986912667751312,0.0972275361418724,0.9636437296867371,0.0006894974503666162
CYST_PA62.nii.gz,1,context,the liver,wrong_spleen,0.08986912667751312,0.08349528163671494,0.9612753987312317,0.0006217827321961522
CYST_PA62.nii.gz,1,context,the liver,wrong_left_kidney,0.08986912667751312,0.08090494573116302,0.6853418350219727,0.004656066186726093
CYST_PA62.nii.gz,1,context,the liver,wrong_right_kidney,0.08986912667751312,0.09058312326669693,0.6918155550956726,0.005018181633204222
CYST_PA62.nii.gz,1,context,human liver,source_identity,0.17025808990001678,0.0,,0.02898789942264557
CYST_PA62.nii.gz,1,context,human liver,correct_action,0.17025808990001678,0.1679266393184662,0.9776872396469116,0.0012813203502446413
CYST_PA62.nii.gz,1,context,human liver,wrong_spleen,0.17025808990001678,0.08349528163671494,0.1743234395980835,0.031003093346953392
