split,case,patch_index,patch_kind,direction,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,liver_to_the_liver,0.00014264059427659959,3.942097828257829e-05
train,HEM_PA99.nii.gz,0,context,the_liver_to_liver,0.0001421659835614264,3.9117549022194e-05
train,HEM_PA99.nii.gz,1,context,liver_to_the_liver,0.0027070832438766956,0.0019230282632634044
train,HEM_PA99.nii.gz,1,context,the_liver_to_liver,0.002643009414896369,0.001789235626347363
train,HEM_PA99.nii.gz,2,foreground,liver_to_the_liver,0.002532045356929302,0.0017686840146780014
train,HEM_PA99.nii.gz,2,foreground,the_liver_to_liver,0.002495241118595004,0.0016545845428481698
train,HEM_PA99.nii.gz,3,foreground,liver_to_the_liver,0.0019202498951926827,0.0012183260405436158
train,HEM_PA99.nii.gz,3,foreground,the_liver_to_liver,0.0019020881736651063,0.0011544842272996902
train,HCC_10140276_20170721.nii.gz,0,context,liver_to_the_liver,0.004892157390713692,0.003983507864177227
train,HCC_10140276_20170721.nii.gz,0,context,the_liver_to_liver,0.0045763542875647545,0.003549813525751233
train,HCC_10140276_20170721.nii.gz,1,context,liver_to_the_liver,0.002214597538113594,0.0014725611545145512
train,HCC_10140276_20170721.nii.gz,1,context,the_liver_to_liver,0.002150447340682149,0.0013790683588013053
train,HCC_10140276_20170721.nii.gz,2,foreground,liver_to_the_liver,0.002474235137924552,0.001160783926025033
train,HCC_10140276_20170721.nii.gz,2,foreground,the_liver_to_liver,0.0024191727861762047,0.0010976415360346437
train,HCC_10140276_20170721.nii.gz,3,foreground,liver_to_the_liver,0.002698480151593685,0.0014005812117829919
train,HCC_10140276_20170721.nii.gz,3,foreground,the_liver_to_liver,0.0026271911337971687,0.0013119718059897423
train,HEM_PA97.nii.gz,0,context,liver_to_the_liver,0.002501162700355053,0.0007194228819571435
train,HEM_PA97.nii.gz,0,context,the_liver_to_liver,0.002457959344610572,0.0006919046863913536
train,HEM_PA97.nii.gz,1,context,liver_to_the_liver,0.0025295198429375887,0.0015453238738700747
train,HEM_PA97.nii.gz,1,context,the_liver_to_liver,0.0024699787609279156,0.0014495828654617071
train,HEM_PA97.nii.gz,2,foreground,liver_to_the_liver,0.0031245131976902485,0.0012317309156060219
train,HEM_PA97.nii.gz,2,foreground,the_liver_to_liver,0.003061449620872736,0.001165479072369635
train,HEM_PA97.nii.gz,3,context_fill,liver_to_the_liver,0.00040377984987571836,0.00018125763745047152
train,HEM_PA97.nii.gz,3,context_fill,the_liver_to_liver,0.0004103526007384062,0.00018554809503257275
train,CYST_PA69.nii.gz,0,context,liver_to_the_liver,0.0002555505488999188,5.9514317399589345e-05
train,CYST_PA69.nii.gz,0,context,the_liver_to_liver,0.000254842423601076,5.902512202737853e-05
train,CYST_PA69.nii.gz,1,context,liver_to_the_liver,0.00038369293906725943,8.685788634466007e-05
train,CYST_PA69.nii.gz,1,context,the_liver_to_liver,0.00038199161645025015,8.594023529440165e-05
train,CYST_PA69.nii.gz,2,foreground,liver_to_the_liver,0.0025867752265185118,0.0017786609241738915
train,CYST_PA69.nii.gz,2,foreground,the_liver_to_liver,0.0025576737243682146,0.0016672627534717321
train,CYST_PA69.nii.gz,3,foreground,liver_to_the_liver,0.00295536732301116,0.0016915182350203395
train,CYST_PA69.nii.gz,3,foreground,the_liver_to_liver,0.0028855414129793644,0.0015816210070624948
train,HCC_10076307_20130925.nii.gz,0,context,liver_to_the_liver,0.0065530575811862946,0.004911825526505709
train,HCC_10076307_20130925.nii.gz,0,context,the_liver_to_liver,0.005959510337561369,0.004312511067837477
train,HCC_10076307_20130925.nii.gz,1,context,liver_to_the_liver,0.0027409596368670464,0.0014668215299025178
train,HCC_10076307_20130925.nii.gz,1,context,the_liver_to_liver,0.00266524706967175,0.0013738645939156413
