step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0015748274937925507,0.0006250713546597242
0,train,directions,liver_to_the_liver,language_conditioned,0.0015514251826310745,0.0006938626326421974
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002539664036012295,0.002146197739638565
0,train,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.002114568147823635,0.00151708554581495
0,train,directions,the_liver_to_liver,language_conditioned,0.0015137553930049442,0.0006695340172178985
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0028542553135447596,0.0023468758400372867
0,train,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,train,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.001034328613859226,0.0005739475776222763
0,train,case_names,CYST_PA62.nii.gz,language_conditioned,0.0008214548985120126,0.0002898770674349101
0,train,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0016070205901833766,0.001379722958031393
0,train,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,train,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.0011407506961334413,0.0006631347384352989
0,train,case_names,HEM_PA107.nii.gz,language_conditioned,0.0008835252211669606,0.00031260782967039744
0,train,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.001812729045382643,0.0016250489194866366
0,train,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,train,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.002236116137710587,0.0010719700519577395
0,train,case_names,HEM_PA29.nii.gz,language_conditioned,0.002292461955014838,0.001381786182688222
0,train,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.0025636831339766394,0.0013152031342897465
0,train,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,train,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.003575341598839131,0.002416245229821038
0,train,case_names,HEP_PA28.nii.gz,language_conditioned,0.0024300841769091335,0.000722383628713768
0,train,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.005972128053816097,0.005850865367637429
0,val,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0015748274937925507,0.0006250713546597242
0,val,directions,liver_to_the_liver,language_conditioned,0.0015514251826310745,0.0006938626326421974
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002539664036012295,0.002146197739638565
0,val,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,val,directions,the_liver_to_liver,shared_trunk_no_language,0.002114568147823635,0.00151708554581495
0,val,directions,the_liver_to_liver,language_conditioned,0.0015137553930049442,0.0006695340172178985
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0028542553135447596,0.0023468758400372867
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.001034328613859226,0.0005739475776222763
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0008214548985120126,0.0002898770674349101
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0016070205901833766,0.001379722958031393
0,val,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,val,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.0011407506961334413,0.0006631347384352989
0,val,case_names,HEM_PA107.nii.gz,language_conditioned,0.0008835252211669606,0.00031260782967039744
0,val,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.001812729045382643,0.0016250489194866366
0,val,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,val,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.002236116137710587,0.0010719700519577395
0,val,case_names,HEM_PA29.nii.gz,language_conditioned,0.002292461955014838,0.001381786182688222
0,val,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.0025636831339766394,0.0013152031342897465
0,val,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,val,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.003575341598839131,0.002416245229821038
0,val,case_names,HEP_PA28.nii.gz,language_conditioned,0.0024300841769091335,0.000722383628713768
0,val,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.005972128053816097,0.005850865367637429
