step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0015735047098182897,0.0006545744670627913
0,train,directions,liver_to_the_liver,language_conditioned,0.0014211426225513959,0.0005249327120593869
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002633225242713872,0.0023164093772785896
0,train,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.001982221931689505,0.0013072484589193897
0,train,directions,the_liver_to_liver,language_conditioned,0.0014736155107411635,0.0006289981638949096
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.002588202115268182,0.0018621822749582176
0,train,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,train,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.000981445641636244,0.0005053793760392901
0,train,case_names,CYST_PA62.nii.gz,language_conditioned,0.0007547255461145586,0.0002047394337517282
0,train,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.001536235309342429,0.0012548601363689723
0,train,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,train,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.0010815304984473039,0.0005834198551196092
0,train,case_names,HEM_PA107.nii.gz,language_conditioned,0.0008069963690080012,0.00021500723615004548
0,train,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.0017316318716007284,0.001481720352181812
0,train,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,train,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.002171425796472951,0.0009865252021044161
0,train,case_names,HEM_PA29.nii.gz,language_conditioned,0.0022123268133845057,0.001277702031973553
0,train,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.002479741403209497,0.001161850955397101
0,train,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,train,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.0034698816464908237,0.002265639032133919
0,train,case_names,HEP_PA28.nii.gz,language_conditioned,0.0022959404402252653,0.0005810967672877338
0,train,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.00584534567284377,0.005602532229045908
0,val,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0015735047098182897,0.0006545744670627913
0,val,directions,liver_to_the_liver,language_conditioned,0.0014211426225513959,0.0005249327120593869
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002633225242713872,0.0023164093772785896
0,val,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,val,directions,the_liver_to_liver,shared_trunk_no_language,0.001982221931689505,0.0013072484589193897
0,val,directions,the_liver_to_liver,language_conditioned,0.0014736155107411635,0.0006289981638949096
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.002588202115268182,0.0018621822749582176
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.000981445641636244,0.0005053793760392901
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0007547255461145586,0.0002047394337517282
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.001536235309342429,0.0012548601363689723
0,val,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,val,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.0010815304984473039,0.0005834198551196092
0,val,case_names,HEM_PA107.nii.gz,language_conditioned,0.0008069963690080012,0.00021500723615004548
0,val,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.0017316318716007284,0.001481720352181812
0,val,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,val,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.002171425796472951,0.0009865252021044161
0,val,case_names,HEM_PA29.nii.gz,language_conditioned,0.0022123268133845057,0.001277702031973553
0,val,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.002479741403209497,0.001161850955397101
0,val,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,val,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.0034698816464908237,0.002265639032133919
0,val,case_names,HEP_PA28.nii.gz,language_conditioned,0.0022959404402252653,0.0005810967672877338
0,val,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.00584534567284377,0.005602532229045908
