target_prompt,action,case_macro_n,real_change_rate_case_macro,predicted_change_rate_case_macro,change_direction_cosine_case_macro,relative_target_nmse_case_macro,correct_nmse_improvement_vs_source_pct_case_macro,correct_nmse_improvement_vs_source_win_rate,correct_nmse_improvement_vs_wrong_spleen_pct_case_macro,correct_nmse_improvement_vs_wrong_spleen_win_rate,correct_nmse_improvement_vs_wrong_left_kidney_pct_case_macro,correct_nmse_improvement_vs_wrong_left_kidney_win_rate,correct_nmse_improvement_vs_wrong_right_kidney_pct_case_macro,correct_nmse_improvement_vs_wrong_right_kidney_win_rate
the liver,source_identity,8,0.09999272727873176,0.0,,0.012843768301536329,,,,,,,,
the liver,correct_action,8,0.09999272727873176,0.08712116756942123,0.9073396408930421,0.004586392769851955,80.0552638283402,1.0,52.92355532438335,0.875,86.26208239302748,1.0,90.82426841609627,1.0
the liver,wrong_spleen,8,0.09999272727873176,0.0790210283594206,0.7987398505210876,0.005900143823964754,,,,,,,,
the liver,wrong_left_kidney,8,0.09999272727873176,0.10857587540522218,0.421842516050674,0.019610325965913944,,,,,,,,
the liver,wrong_right_kidney,8,0.09999272727873176,0.13625488011166453,0.3374502278165892,0.028397400565154385,,,,,,,,
human liver,source_identity,8,0.17994360299780965,0.0,,0.038256211249972694,,,,,,,,
human liver,correct_action,8,0.17994360299780965,0.19062682474032044,0.9566949475556612,0.0055793327092033,87.82441031999035,1.0,86.40123800964938,1.0,70.9044455967011,1.0,84.52669485673418,1.0
human liver,wrong_spleen,8,0.17994360299780965,0.0790210283594206,0.34784144535660744,0.034282093205547426,,,,,,,,
human liver,wrong_left_kidney,8,0.17994360299780965,0.10857587540522218,0.7623868510127068,0.015532870500464924,,,,,,,,
human liver,wrong_right_kidney,8,0.17994360299780965,0.13625488011166453,0.45468911435455084,0.029713173236814328,,,,,,,,
hepatic organ,source_identity,8,0.2543951834086329,0.0,,0.09247057246102486,,,,,,,,
hepatic organ,correct_action,8,0.2543951834086329,0.23733125650323927,0.9561391063034534,0.024151575604264508,87.19353743658098,1.0,85.86787201821255,1.0,79.79462051799807,1.0,72.89140218604338,1.0
hepatic organ,wrong_spleen,8,0.2543951834086329,0.0790210283594206,0.27454809355549514,0.08463673967344221,,,,,,,,
hepatic organ,wrong_left_kidney,8,0.2543951834086329,0.10857587540522218,0.5867589274421334,0.058321138843894005,,,,,,,,
hepatic organ,wrong_right_kidney,8,0.2543951834086329,0.13625488011166453,0.7830544952303171,0.04413624174048891,,,,,,,,
